OBJECTID,GlobalID,GUID,Name,Count,CreationDate,Creator,EditDate,Editor
1,dc167496-01f1-4b76-b02e-eceae232a4e0,53037d0d-4fb6-4aeb-b833-aee7841654e1,,2,4/15/2023 6:27:39 AM,,4/15/2023 6:27:39 AM,
2,77751df3-489e-4a05-af7f-cecfcb6f9f91,53037d0d-4fb6-4aeb-b833-aee7841654e1,,2,4/16/2023 6:27:53 AM,,4/16/2023 6:27:53 AM,
3,cc1f218d-d2d8-4974-9ef5-0bd76a4d204f,53037d0d-4fb6-4aeb-b833-aee7841654e1,,3,4/17/2023 6:28:03 AM,,4/17/2023 6:28:03 AM,
4,dc52b86f-dbef-4b8d-82e5-e17bbac20bf3,53037d0d-4fb6-4aeb-b833-aee7841654e1,,1,4/18/2023 6:28:13 AM,,4/18/2023 6:28:13 AM,
5,cdb1db79-a340-4e62-9f02-778b7cf211db,53037d0d-4fb6-4aeb-b833-aee7841654e1,,2,4/19/2023 6:28:22 AM,,4/19/2023 6:28:22 AM,
6,dc7d09b7-9df4-4163-9958-c254522c3ba3,7227039c-23e1-4ca4-ac4c-502f0929edbe,,7,4/15/2023 6:28:49 AM,,4/15/2023 6:28:49 AM,
7,d2b0f8e7-8edd-45bf-99bb-6e1e36698829,7227039c-23e1-4ca4-ac4c-502f0929edbe,,5,4/16/2023 6:28:56 AM,,4/16/2023 6:28:56 AM,
8,27236bf9-a19a-418f-af8c-bad2c20d264b,7227039c-23e1-4ca4-ac4c-502f0929edbe,,8,4/17/2023 6:29:04 AM,,4/17/2023 6:29:04 AM,
9,bdcaccbb-6559-4b8b-8ac7-adf3856124ad,7227039c-23e1-4ca4-ac4c-502f0929edbe,,9,4/18/2023 6:29:12 AM,,4/18/2023 6:29:12 AM,
10,226765bf-7df7-4956-9cb9-32c4f20cd069,7227039c-23e1-4ca4-ac4c-502f0929edbe,,5,4/19/2023 6:29:20 AM,,4/19/2023 6:29:20 AM,
11,af63c2cf-695c-4779-9141-46a2869360da,c7fd9a01-d259-4a43-affe-0aee40d33433,,5,4/15/2023 6:29:43 AM,,4/15/2023 6:29:43 AM,
12,a6b5881c-3d6a-4310-b170-8c3b085a6d70,c7fd9a01-d259-4a43-affe-0aee40d33433,,6,4/16/2023 6:29:54 AM,,4/16/2023 6:29:54 AM,
13,df9bd2d8-19c8-40bd-8415-1752516a2e0b,c7fd9a01-d259-4a43-affe-0aee40d33433,,9,4/17/2023 6:30:04 AM,,4/17/2023 6:30:04 AM,
14,e71fb9aa-d3b8-4e1c-87b2-62b7bbabbce5,c7fd9a01-d259-4a43-affe-0aee40d33433,,5,4/18/2023 6:30:12 AM,,4/18/2023 6:30:12 AM,
15,b4fcbcaf-2557-4d73-88d1-a0f081a9d1ca,c7fd9a01-d259-4a43-affe-0aee40d33433,,4,4/19/2023 6:30:21 AM,,4/19/2023 6:30:21 AM,
16,bac9ac11-a948-4c83-8b51-b95fa635e025,5f9fa78e-df42-49bd-9e0b-eeffd51e107b,,1,4/15/2023 6:30:38 AM,,4/15/2023 6:30:38 AM,
17,1db06cb8-fa2e-4388-a320-345a918f3f18,5f9fa78e-df42-49bd-9e0b-eeffd51e107b,,1,4/16/2023 6:30:46 AM,,4/16/2023 6:30:46 AM,
18,e40f72d8-efde-4755-9fa8-5dc1378de777,5f9fa78e-df42-49bd-9e0b-eeffd51e107b,,0,4/17/2023 6:30:54 AM,,4/17/2023 6:30:54 AM,
19,f69557df-d35c-4a38-8c9e-3b35681c8b18,5f9fa78e-df42-49bd-9e0b-eeffd51e107b,,0,4/18/2023 6:31:02 AM,,4/18/2023 6:31:02 AM,
20,669bf489-19de-444e-9e51-f1a111f62fe7,5f9fa78e-df42-49bd-9e0b-eeffd51e107b,,1,4/19/2023 6:31:09 AM,,4/19/2023 6:31:09 AM,
21,733ad2e3-af51-44ca-a405-710a88ef2e16,cdb00697-f3d4-4e51-a65f-57ce43e9cd2f,,0,4/15/2023 6:31:28 AM,,4/15/2023 6:31:28 AM,
22,e9466dff-54af-41e2-9f56-16b2b6b9b53e,cdb00697-f3d4-4e51-a65f-57ce43e9cd2f,,1,4/16/2023 6:31:36 AM,,4/16/2023 6:31:36 AM,
23,756cb74b-faa7-4e0e-aab4-caea522b9a4d,cdb00697-f3d4-4e51-a65f-57ce43e9cd2f,,1,4/17/2023 6:31:44 AM,,4/17/2023 6:31:44 AM,
24,361cc6bc-a549-4b01-96f7-47160af31b14,cdb00697-f3d4-4e51-a65f-57ce43e9cd2f,,0,4/18/2023 6:32:02 AM,,4/18/2023 6:32:02 AM,
25,e412b75d-4e33-4d94-afaf-aa695b52adec,cdb00697-f3d4-4e51-a65f-57ce43e9cd2f,,1,4/19/2023 6:32:09 AM,,4/19/2023 6:32:09 AM,
26,b2cf9b95-f841-40fe-ba16-a0ae356115a6,abb0c4b6-2ba6-4bd5-b14e-e38ac2231d38,,1,4/15/2023 6:32:30 AM,,4/15/2023 6:32:30 AM,
27,36c28d2b-9904-4c92-ae93-b75dd81cde8b,abb0c4b6-2ba6-4bd5-b14e-e38ac2231d38,,0,4/16/2023 6:32:38 AM,,4/16/2023 6:32:38 AM,
28,4727e794-8a84-4aab-adc8-2cdb700d2413,abb0c4b6-2ba6-4bd5-b14e-e38ac2231d38,,0,4/17/2023 6:32:46 AM,,4/17/2023 6:32:46 AM,
29,ad87a1e9-101b-4fd1-be7a-3f44385465b4,abb0c4b6-2ba6-4bd5-b14e-e38ac2231d38,,1,4/18/2023 6:32:57 AM,,4/18/2023 6:32:57 AM,
30,53977611-0de3-495f-85c9-57a3b71888cb,abb0c4b6-2ba6-4bd5-b14e-e38ac2231d38,,0,4/19/2023 6:33:08 AM,,4/19/2023 6:33:08 AM,
31,76ec1861-4124-428a-a739-d27df2a7c6ad,8b3afbf7-aded-4cc9-a5d3-b13b45e58f09,,1,4/15/2023 6:33:24 AM,,4/15/2023 6:33:24 AM,
32,a1caa261-7fe7-40e4-8491-52c655a77a81,8b3afbf7-aded-4cc9-a5d3-b13b45e58f09,,1,4/16/2023 6:33:32 AM,,4/16/2023 6:33:32 AM,
33,45f46729-60d2-4018-98a0-45fca7bf0012,8b3afbf7-aded-4cc9-a5d3-b13b45e58f09,,1,4/17/2023 6:33:40 AM,,4/17/2023 6:33:40 AM,
34,e334c375-1cb9-4aca-ae6b-dcb60ea6bd02,8b3afbf7-aded-4cc9-a5d3-b13b45e58f09,,1,4/18/2023 6:33:48 AM,,4/18/2023 6:33:48 AM,
35,4f17bf0e-a093-4bdd-a67a-f2198198bb08,8b3afbf7-aded-4cc9-a5d3-b13b45e58f09,,1,4/19/2023 6:33:57 AM,,4/19/2023 6:33:57 AM,
36,8bdf5cbd-0101-4b7f-bb97-28b1c725ca7f,657f9095-253f-4b5b-9267-7c8cacb5236c,,1,4/15/2023 6:34:09 AM,,4/15/2023 6:34:09 AM,
37,8b7fc1ea-943a-4e2e-9e1c-7a2442ebd051,657f9095-253f-4b5b-9267-7c8cacb5236c,,2,4/16/2023 6:34:17 AM,,4/16/2023 6:34:17 AM,
38,3576da63-070b-4552-a539-442b4c422417,657f9095-253f-4b5b-9267-7c8cacb5236c,,1,4/17/2023 6:34:25 AM,,4/17/2023 6:34:25 AM,
39,b2c21f2a-7d10-43ee-8654-d0206a0d0bc0,657f9095-253f-4b5b-9267-7c8cacb5236c,,1,4/18/2023 6:34:33 AM,,4/18/2023 6:34:33 AM,
40,ced00dca-0799-4c52-bf6e-bfc68a9adae5,657f9095-253f-4b5b-9267-7c8cacb5236c,,0,4/19/2023 6:34:40 AM,,4/19/2023 6:34:40 AM,
41,8250fc29-1ea0-49d3-9e02-0c71c0925bd3,d393b22e-e47a-4934-b16b-0dbde07a06d0,,1,4/15/2023 6:34:53 AM,,4/15/2023 6:34:53 AM,
42,0c052914-a6ac-4700-8cce-74bf9a9004ed,d393b22e-e47a-4934-b16b-0dbde07a06d0,,0,4/16/2023 6:35:01 AM,,4/16/2023 6:35:01 AM,
43,b861c897-25fe-4c21-8fa1-60c02753dee3,d393b22e-e47a-4934-b16b-0dbde07a06d0,,1,4/17/2023 6:35:08 AM,,4/17/2023 6:35:08 AM,
44,da86a0ac-0112-4789-91ff-2fb82f1f2b10,d393b22e-e47a-4934-b16b-0dbde07a06d0,,0,4/18/2023 6:35:16 AM,,4/18/2023 6:35:16 AM,
45,2a116610-ba73-4c73-82f3-97583b3ac92d,d393b22e-e47a-4934-b16b-0dbde07a06d0,,2,4/19/2023 6:35:24 AM,,4/19/2023 6:35:24 AM,
46,1a835483-3016-4aaf-b9f1-a0703e317e8f,f3612386-ae51-4f87-8d15-42d2cb28b96b,,1,4/15/2023 6:35:38 AM,,4/15/2023 6:35:38 AM,
47,87fe65db-2e77-4efb-8e8d-e3e5ff4307e6,f3612386-ae51-4f87-8d15-42d2cb28b96b,,0,4/16/2023 6:35:45 AM,,4/16/2023 6:35:45 AM,
48,0e2b6b09-82cd-4758-9882-d27184504f74,f3612386-ae51-4f87-8d15-42d2cb28b96b,,2,4/17/2023 6:35:54 AM,,4/17/2023 6:35:54 AM,
49,ce8197e5-2ad5-4d56-a6cc-05cb625c2b17,f3612386-ae51-4f87-8d15-42d2cb28b96b,,1,4/18/2023 6:36:01 AM,,4/18/2023 6:36:01 AM,
50,0401be1c-1ed1-416f-b297-8eefb0f728ce,f3612386-ae51-4f87-8d15-42d2cb28b96b,,0,4/19/2023 6:36:08 AM,,4/19/2023 6:36:08 AM,
51,c7df626d-1e5c-409b-9d21-33de9b370121,1267c7ee-8ae9-4325-b1c9-0a5827c9cbe9,,15,4/15/2023 6:36:26 AM,,4/15/2023 6:36:26 AM,
52,1dfc629e-7719-4db1-962c-c5b67719e169,1267c7ee-8ae9-4325-b1c9-0a5827c9cbe9,,12,4/16/2023 6:36:36 AM,,4/16/2023 6:36:36 AM,
53,464bcc31-6de7-44fa-9c7d-2702ff0a050c,1267c7ee-8ae9-4325-b1c9-0a5827c9cbe9,,17,4/17/2023 6:36:44 AM,,4/17/2023 6:36:44 AM,
54,a4a58c0c-10d7-4dc6-94ab-9d2189f3e6cf,1267c7ee-8ae9-4325-b1c9-0a5827c9cbe9,,18,4/18/2023 6:36:56 AM,,4/18/2023 6:36:56 AM,
55,a8055afb-8fb0-4a1d-ac55-6546f3acc5cd,1267c7ee-8ae9-4325-b1c9-0a5827c9cbe9,,11,4/19/2023 6:37:04 AM,,4/19/2023 6:37:04 AM,
56,cbd869c1-c19c-4e4b-a74b-cbb795e94bb7,bad3bb01-8fe8-4000-bd00-9358fa12248d,,2,4/15/2023 6:37:37 AM,,4/15/2023 6:37:37 AM,
57,59650d38-0d06-4a3f-b399-bbfe17efc1af,bad3bb01-8fe8-4000-bd00-9358fa12248d,,3,4/16/2023 6:47:16 AM,,4/16/2023 6:47:16 AM,
58,6f5da60a-c9c4-411e-89ef-9fe36a8b2592,bad3bb01-8fe8-4000-bd00-9358fa12248d,,2,4/17/2023 6:47:24 AM,,4/17/2023 6:47:24 AM,
59,417d03ad-8da1-4fd0-b248-9a725330296d,bad3bb01-8fe8-4000-bd00-9358fa12248d,,1,4/18/2023 6:47:32 AM,,4/18/2023 6:47:32 AM,
60,61d7a226-6b9c-4d03-a854-cca3a3fa312b,bad3bb01-8fe8-4000-bd00-9358fa12248d,,4,4/19/2023 6:47:43 AM,,4/19/2023 6:47:43 AM,
61,3d2840ab-c606-4569-9afe-0123323eb07c,3d4ade81-3b4f-4f4c-9a1c-35b6b40fb926,,1,4/15/2023 6:48:00 AM,,4/15/2023 6:48:00 AM,
62,8f4444dd-1566-4099-b4f0-34542de5d716,3d4ade81-3b4f-4f4c-9a1c-35b6b40fb926,,5,4/16/2023 6:48:08 AM,,4/16/2023 6:48:08 AM,
63,6271a3f6-b6c9-4af6-afa4-72b412314d1c,3d4ade81-3b4f-4f4c-9a1c-35b6b40fb926,,3,4/17/2023 6:48:18 AM,,4/17/2023 6:48:18 AM,
64,d0d19ab6-8b43-4f4c-be2d-e381d2ba4f0f,3d4ade81-3b4f-4f4c-9a1c-35b6b40fb926,,2,4/18/2023 6:48:28 AM,,4/18/2023 6:48:28 AM,
65,49cbe0d4-f2f6-4c7d-9789-bf72540f269d,3d4ade81-3b4f-4f4c-9a1c-35b6b40fb926,,0,4/19/2023 6:48:38 AM,,4/19/2023 6:48:38 AM,
66,dccc7177-c232-44be-a4c7-23f3ae6fd0c8,382cbc54-e96a-4006-99dc-244065811d10,,1,4/15/2023 6:48:56 AM,,4/15/2023 6:48:56 AM,
67,e4ac5de3-1bba-4447-bbf3-ea8819d69e24,382cbc54-e96a-4006-99dc-244065811d10,,0,4/16/2023 6:49:04 AM,,4/16/2023 6:49:04 AM,
68,32c92795-8797-4fe8-a9fe-f36e17f34f2f,382cbc54-e96a-4006-99dc-244065811d10,,0,4/17/2023 6:49:12 AM,,4/17/2023 6:49:12 AM,
69,5fee6f8c-d97f-40b1-94c4-4c42d9a3b7c3,382cbc54-e96a-4006-99dc-244065811d10,,0,4/18/2023 6:49:20 AM,,4/18/2023 6:49:20 AM,
70,b902b3ff-5c43-4926-a2ff-73222e68a727,382cbc54-e96a-4006-99dc-244065811d10,,0,4/19/2023 6:49:28 AM,,4/19/2023 6:49:28 AM,
71,2e4cd2dd-9827-4dfc-ad62-0b4e4a9ee6f6,a3ce3979-d769-49ab-bc26-124b581db39d,,2,4/15/2023 6:49:46 AM,,4/15/2023 6:49:46 AM,
72,60dffbb0-73b7-48b3-a3e1-a5195e491d05,a3ce3979-d769-49ab-bc26-124b581db39d,,2,4/16/2023 6:49:54 AM,,4/16/2023 6:49:54 AM,
73,2a25ea1b-c119-4434-aaba-50b53370ff17,a3ce3979-d769-49ab-bc26-124b581db39d,,2,4/17/2023 6:50:03 AM,,4/17/2023 6:50:03 AM,
74,eec40299-683c-47cd-8f9c-bae23577751a,a3ce3979-d769-49ab-bc26-124b581db39d,,1,4/18/2023 6:50:10 AM,,4/18/2023 6:50:10 AM,
75,6d5ed9d0-ccf1-43ec-8517-cedce3f2fb8d,a3ce3979-d769-49ab-bc26-124b581db39d,,0,4/19/2023 6:50:19 AM,,4/19/2023 6:50:19 AM,
76,89f29882-a582-47c8-ac50-90a71958f6da,4c791df0-e83a-412c-9df0-424c83b01383,,1,4/15/2023 6:50:36 AM,,4/15/2023 6:50:36 AM,
77,4fe82453-4ded-460d-91ae-a7370e301052,4c791df0-e83a-412c-9df0-424c83b01383,,2,4/16/2023 6:50:44 AM,,4/16/2023 6:50:44 AM,
78,5506580c-7c2f-4a6b-94bf-4dc28d6074c3,4c791df0-e83a-412c-9df0-424c83b01383,,2,4/17/2023 6:50:53 AM,,4/17/2023 6:50:53 AM,
79,3802937f-aac2-47e6-84ae-cc124c65080f,4c791df0-e83a-412c-9df0-424c83b01383,,1,4/18/2023 6:51:02 AM,,4/18/2023 6:51:02 AM,
80,71f7b921-0d32-42c4-8454-da09d77eb798,4c791df0-e83a-412c-9df0-424c83b01383,,0,4/19/2023 6:51:10 AM,,4/19/2023 6:51:10 AM,
81,f328262b-cb42-4cf6-adbc-f115662695c9,dec1dc36-21b2-426d-94b2-94eec4adacbe,,1,4/15/2023 6:51:22 AM,,4/15/2023 6:51:22 AM,
82,ef1ac424-d062-4c1a-983a-c5ee496fcfe6,dec1dc36-21b2-426d-94b2-94eec4adacbe,,2,4/16/2023 6:51:30 AM,,4/16/2023 6:51:30 AM,
83,902c1a25-2ae0-4278-8bf8-4af9a1bddd44,dec1dc36-21b2-426d-94b2-94eec4adacbe,,2,4/17/2023 6:51:38 AM,,4/17/2023 6:51:38 AM,
84,6a7cd6b4-55a3-4add-b40b-b0d05cb33613,dec1dc36-21b2-426d-94b2-94eec4adacbe,,1,4/18/2023 6:51:45 AM,,4/18/2023 6:51:45 AM,
85,6827f1ab-fdfc-4025-8204-a75538119385,dec1dc36-21b2-426d-94b2-94eec4adacbe,,0,4/19/2023 6:51:53 AM,,4/19/2023 6:51:53 AM,
86,6ad30d69-23b6-40e3-a3a0-59313f36ed27,9a586f47-7a82-450c-8cfd-dca7c20c097b,,12,4/15/2023 6:52:16 AM,,4/15/2023 6:52:16 AM,
87,feed2548-16da-4b0e-b64b-4c875918c890,9a586f47-7a82-450c-8cfd-dca7c20c097b,,13,4/16/2023 6:52:27 AM,,4/16/2023 6:52:27 AM,
88,047ccfed-dfe6-40ac-9dea-90d414aa6775,9a586f47-7a82-450c-8cfd-dca7c20c097b,,17,4/17/2023 6:52:35 AM,,4/17/2023 6:52:35 AM,
89,f198ef75-cd07-4ca0-937f-ea51f5f457ec,9a586f47-7a82-450c-8cfd-dca7c20c097b,,11,4/18/2023 6:52:43 AM,,4/18/2023 6:52:43 AM,
90,083f9037-992f-413a-8125-9b1ced215352,9a586f47-7a82-450c-8cfd-dca7c20c097b,,5,4/19/2023 6:52:51 AM,,4/19/2023 6:52:51 AM,
91,c0a954a5-fa50-40bb-96bb-7ea9949e3257,e6dbc0c2-8014-42f6-9c71-ef2a11097985,,3,4/15/2023 6:53:13 AM,,4/15/2023 6:53:13 AM,
92,0c26ed40-ec39-4154-98ad-1bf892916242,e6dbc0c2-8014-42f6-9c71-ef2a11097985,,2,4/16/2023 6:53:21 AM,,4/16/2023 6:53:21 AM,
93,f9935648-d8bd-4bfa-b828-af1991370349,e6dbc0c2-8014-42f6-9c71-ef2a11097985,,4,4/17/2023 6:53:31 AM,,4/17/2023 6:53:31 AM,
94,3aafbb5d-54b4-4197-bff1-00865a06cf9c,e6dbc0c2-8014-42f6-9c71-ef2a11097985,,2,4/18/2023 6:53:40 AM,,4/18/2023 6:53:40 AM,
95,7332c6e5-e102-487c-857a-3670a9f16a6c,e6dbc0c2-8014-42f6-9c71-ef2a11097985,,1,4/19/2023 6:53:48 AM,,4/19/2023 6:53:48 AM,
96,6e3877d4-3aa1-40c4-9a0f-ae2bb429a4a8,50de0f33-ce22-4246-9945-cfec135c8f15,,1,4/15/2023 6:54:02 AM,,4/15/2023 6:54:02 AM,
97,302fa3b1-50cd-4b9c-a1da-f88eff9c32dc,50de0f33-ce22-4246-9945-cfec135c8f15,,2,4/16/2023 6:54:09 AM,,4/16/2023 6:54:09 AM,
98,3c43ce8b-19d8-4cf6-81ff-5b6cfab88257,50de0f33-ce22-4246-9945-cfec135c8f15,,2,4/17/2023 6:54:16 AM,,4/17/2023 6:54:16 AM,
99,9870b352-5974-4daf-aa06-aaa16b11dde6,50de0f33-ce22-4246-9945-cfec135c8f15,,1,4/18/2023 6:54:24 AM,,4/18/2023 6:54:24 AM,
100,5cb197cd-ced8-474e-a36e-1a55f8d93d67,50de0f33-ce22-4246-9945-cfec135c8f15,,0,4/19/2023 6:54:32 AM,,4/19/2023 6:54:32 AM,
101,f18d5ad0-49a3-4c00-ab78-809dc8b8d67f,ccfb6a24-f179-4da4-b89f-7c329fe0e8c9,,0,4/15/2023 6:54:46 AM,,4/15/2023 6:54:46 AM,
102,579a08c5-82d1-4018-a916-bed021690eab,ccfb6a24-f179-4da4-b89f-7c329fe0e8c9,,1,4/16/2023 6:54:53 AM,,4/16/2023 6:54:53 AM,
103,0455e121-0f5b-4f37-9ba8-72c5433c44e3,ccfb6a24-f179-4da4-b89f-7c329fe0e8c9,,2,4/17/2023 6:55:15 AM,,4/17/2023 6:55:15 AM,
104,de8eb82f-fd94-4377-8101-8a7ca0c63e22,ccfb6a24-f179-4da4-b89f-7c329fe0e8c9,,1,4/18/2023 6:55:23 AM,,4/18/2023 6:55:23 AM,
105,9856c289-e3ae-4944-8159-a496686910f9,ccfb6a24-f179-4da4-b89f-7c329fe0e8c9,,0,4/19/2023 6:55:30 AM,,4/19/2023 6:55:30 AM,
106,f7db1000-3e18-499e-8e9f-1d7d4f4ce97e,fee98b5b-3989-4547-a866-ed2125e98a9a,,0,4/15/2023 6:55:44 AM,,4/15/2023 6:55:44 AM,
107,689a9103-d43e-49c8-bafb-5e64f9835580,fee98b5b-3989-4547-a866-ed2125e98a9a,,2,4/16/2023 6:55:51 AM,,4/16/2023 6:55:51 AM,
108,83c71f16-06e9-4f13-bf6f-5c849a4d7e0f,fee98b5b-3989-4547-a866-ed2125e98a9a,,2,4/17/2023 6:55:58 AM,,4/17/2023 6:55:58 AM,
109,5ee0754a-3c63-4da8-bfc1-dfc4e326d841,fee98b5b-3989-4547-a866-ed2125e98a9a,,1,4/18/2023 6:56:05 AM,,4/18/2023 6:56:05 AM,
110,ba4b49ab-1b20-44d5-bdbd-8740b27445fc,fee98b5b-3989-4547-a866-ed2125e98a9a,,0,4/19/2023 6:56:12 AM,,4/19/2023 6:56:12 AM,
111,21b5bac7-8f93-4e77-9fad-5cd9a73be1a1,99d2131d-8f17-4115-86f1-60aab188dca4,,9,4/15/2023 6:56:29 AM,,4/15/2023 6:56:29 AM,
112,80d57867-20ca-4810-a7ad-b4ce0f174f08,99d2131d-8f17-4115-86f1-60aab188dca4,,11,4/16/2023 6:56:37 AM,,4/16/2023 6:56:37 AM,
113,afa460b8-0f71-4d4b-b785-10d5e2be9319,99d2131d-8f17-4115-86f1-60aab188dca4,,15,4/17/2023 6:56:44 AM,,4/17/2023 6:56:44 AM,
114,17f73f04-9703-4189-a142-bfacfc253bc7,99d2131d-8f17-4115-86f1-60aab188dca4,,12,4/18/2023 6:56:52 AM,,4/18/2023 6:56:52 AM,
115,455ea5a5-2c33-45ef-9231-6303e5b38235,99d2131d-8f17-4115-86f1-60aab188dca4,,6,4/19/2023 6:57:00 AM,,4/19/2023 6:57:00 AM,
116,a3698d33-4089-4a3b-b85b-e1d7131a345e,bd87e74b-5091-4010-9ee1-f2da15a07855,,10,4/15/2023 6:57:12 AM,,4/15/2023 6:57:12 AM,
117,23e49827-f159-4298-af38-cf2da5c855fc,bd87e74b-5091-4010-9ee1-f2da15a07855,,12,4/16/2023 6:57:20 AM,,4/16/2023 6:57:20 AM,
118,bbe55b69-e5fc-42eb-aeb2-b7d1c3d7d8f8,bd87e74b-5091-4010-9ee1-f2da15a07855,,15,4/17/2023 6:57:28 AM,,4/17/2023 6:57:28 AM,
119,2b8fa7ce-ada8-4875-9304-0fb64edf9f31,bd87e74b-5091-4010-9ee1-f2da15a07855,,11,4/18/2023 6:57:35 AM,,4/18/2023 6:57:35 AM,
120,77a95f90-3f10-4c63-9ae0-50d5b1901682,bd87e74b-5091-4010-9ee1-f2da15a07855,,8,4/19/2023 6:57:42 AM,,4/19/2023 6:57:42 AM,
121,d4a6718b-b147-492c-8d2e-1ab39db83e59,03ab0ee7-1cee-422f-83a7-39f2b9d6edc6,,1,4/15/2023 6:58:04 AM,,4/15/2023 6:58:04 AM,
122,ba84e98e-8c63-4023-acfb-9389b803297b,03ab0ee7-1cee-422f-83a7-39f2b9d6edc6,,2,4/16/2023 6:58:11 AM,,4/16/2023 6:58:11 AM,
123,3837eb36-bcb6-494d-99c2-d8904c5b40a0,03ab0ee7-1cee-422f-83a7-39f2b9d6edc6,,2,4/17/2023 6:58:18 AM,,4/17/2023 6:58:18 AM,
124,aa2ddaa3-8ccd-4559-8877-60a1eb0d5f05,03ab0ee7-1cee-422f-83a7-39f2b9d6edc6,,1,4/18/2023 6:58:25 AM,,4/18/2023 6:58:25 AM,
125,b15cbb3d-e2e4-4969-966a-72196ea655d2,03ab0ee7-1cee-422f-83a7-39f2b9d6edc6,,0,4/19/2023 6:58:33 AM,,4/19/2023 6:58:33 AM,
126,59f27ba0-89b2-4664-804d-f2ee95de35fa,2cc912f0-a2f1-4215-af91-b05af816a0d9,,2,4/15/2023 6:58:51 AM,,4/15/2023 6:58:51 AM,
127,97e81999-3cf9-4e2b-b265-9773e386e961,2cc912f0-a2f1-4215-af91-b05af816a0d9,,3,4/16/2023 6:58:58 AM,,4/16/2023 6:58:58 AM,
128,e0fc3475-fd90-4dff-92b1-90e9b6e18698,2cc912f0-a2f1-4215-af91-b05af816a0d9,,3,4/17/2023 6:59:05 AM,,4/17/2023 6:59:05 AM,
129,3c408108-6443-46f0-b5f9-5cc4bb10c5b6,2cc912f0-a2f1-4215-af91-b05af816a0d9,,1,4/18/2023 6:59:13 AM,,4/18/2023 6:59:13 AM,
130,05707792-aa10-49e5-a0ae-8da37fac8744,2cc912f0-a2f1-4215-af91-b05af816a0d9,,0,4/19/2023 6:59:21 AM,,4/19/2023 6:59:21 AM,
